English Word/Phrase,Ukrainian Translation,Lesson
stress them out,викликати у них стрес,Stress
boosts morale,піднімати моральний дух,General
alleviates any boredom,зменшує нудьгу,General
pick out drawbacks,вибрати недоліки,General
chance to catch up socially,шанс поспілкуватися,General
to feel drained,відчувати себе виснаженим,General
advantages outweigh the drawbacks,переваги переважують недоліки,General
We are just about down to the wire with project,Ми підійшли до останньої межі з проектом,Work
flow,потік,General
What can be done to prevent emotional colleagues?,Що можна зробити щоб запобігти емоційним колегам?,General
While working remotely,Працюючи віддалено,Work
For whole my life I have been avoiding public speaking,Все моє життя я уникав публічних виступів,Personal
that everything is temporary,що все тимчасово,General
that people are people,що люди це люди,General
alleviate stress levels,знизити рівень стресу,Stress
boost morale,підняти бойовий дух,General
feel drained,відчувати себе виснаженим,General
to make record voice message,записати голосове повідомлення,Communication
to join/involvement students in activities,залучати студентів до занять,Education
modern and interesting topics,сучасні та цікаві теми,Education
change activities,змінювати види діяльності,Education
relevant,релевантний,General
not all have internet,не у всіх є інтернет,General
it takes too long when will be your turn to answer,це займає занадто багато часу коли прийде твоя черга відповідати,General
it will blind her mind,це затьмарить її розум,Psychology
on the one hand,з одного боку,Phrases
on the other hand,з іншого боку,Phrases
entrees (omrie),основне меню,Food
side,гарнір,Food
go-to's,моє улюблене (улюблені речі),General
rewrite,переписати,General
scrolling feed is good in moderation,гортання стрічки добре в міру,Habits
stimulating activity,стимулююча діяльність,General
stimulating discussion,стимулююче обговорення,General
stimulating drink,стимулюючий напій,General
go overboard,переборщувати,General
to indulge,захоплюватися (давати волю),General
flat out,виснажений,General
rack up,назбирати (накопичити),General
it racked up 4.2 mln views,це набрало 4.2 млн переглядів,General
entrees,перші страви,Food
go-to,улюблений (найкращий вибір),General
this cafe is my go-to for morning coffee,ця кав'ярня моє улюблене місце для ранкової кави,Daily Life
Black dress is my go-to outfit for events,Чорна сукня моє улюблене вбрання для заходів,Daily Life
NO shame about...,немає сорому за...,General
I adore,я обожнюю,General
I like,мені подобається,General
I prefer,я віддаю перевагу,General
my passion,моє захоплення,General
I'm a fan,я фанат,General
firstly,по-перше,Cohesion
secondly,по-друге,Cohesion
moreover,більше того,Cohesion
finally,нарешті,Cohesion
as for,що стосується,Cohesion
speaking of,говорячи про,Cohesion
tight schedule,щільний графік,Work
focus,фокус,General
pursuits - activities you do,заняття (чим ви займаєтеся),General
feel lacking,відчувати нестачу,General
self-centered,егоцентричний,Personality
spoilt,розбещений,Personality
determined,рішучий (визначений),Personality
unconventional,нетрадиційний,Personality
insecure,невпевнений (ненадійний),Personality
appearance,зовнішній вигляд,Personality
thoughtful,уважний (вдумливий),Personality
trustworthy,надійний (чесний),Personality
straight forward,прямий,Personality
compassionate,співчутливий,Personality
poverty,бідність,Sociology
narrow-minded,обмежений (вузьколобий),Personality
uptight,напружений (знервований),Personality
break/violate/neglect boundaries,порушувати межі,General
set healthy boundaries,встановити здорові межі,General
from my perspective,з моєї точки зору,Phrases
I couldn't agree more,я не можу не погодитися,Phrases
On the same page,на одній хвилі,Phrases
boost my mood,підняти мій настрій,Mood
character trait,риса характеру,Personality
strong leadership trait,сильна лідерська риса,Personality
humble,скромний,Personality
what's your take on that?,яка ваша думка про це?,Phrases
brag,хвалитися,Personality
vain people,пихаті люди,Personality
upbringing,виховання,General
failure,фейл (невдача),General
I have been feeling insecure since (I still feel it),Я відчував себе невпевнено з того часу (і досі відчуваю),Personal
to lurk at every corner,чекати за кожним кутом,Phrases
If only it were that simple,якби все було так просто,Phrases
worthwhile,варто,General
capable,здатний (проможний),General
self-esteem,самооцінка,Personality
you are certain of your abilities,ви впевнені у своїх здібностях,Personality
empowered,впевнений (контролюючий ситуацію),Personality
genes,гени,General
setbacks,невдача (затримка),General
untangle,розплутувати,General
pep talk,підбадьорлива розмова,Communication
consider,розглядати (обдумувати),General
growth mind-set,світогляд (спосіб мислення),Mindset
be face with,зіткнутися з,General
residential,житловий,Urban
outskirts,околиці,Urban
neglected,занедбаний,Urban
cutting-edge,сучасний (новітній),Urban
spectacular,вражаючий (грандіозний),Urban
sprawling,розлогий (що розростається),Urban
thriving,процвітаючий,Urban
deprived,незабезпечений (позбавлений ресурсів),Urban
over-populated,перенаселений,Urban
run-down,занедбаний (в поганому стані),Urban
affluent,заможний (багатий),Urban
sky-scrapers,хмарочоси,Urban
high-rise building,висотний будинок,Urban
shabby,занедбаний (пошарпаний),Urban
filthy,брудний,Urban
bustling,жвавий (метушливий),Urban
vibrant,яскравий (сповнений ентузіазму),Urban
hilly,гористий,Urban
abandoned,покинутий,Urban
abundant,багатий (рясний),Urban
hilly - mountainous,гористий,Urban
Bustling streets/market,жваві вулиці/ринок,Urban
Vibrant,описує щось сповнене енергією,Urban
high-rise building,висотний будинок,Urban
shabby building,занедбаний будинок,Urban
filthy streets,брудні вулиці,Urban
sky-scrapers,хмарочоси,Urban
affluent district,заможний район,Urban
run-down area,занедбаний район,Urban
deprived area,бідний район,Urban
thriving community,процвітаюча громада,Sociology
sprawling city,місто що розростається,Urban
spectacular view,вражаючий вид,General
cutting-edge technology,сучасна технологія,General
residential area,житловий район,Urban
outskirts of the city,околиці міста,Urban
neglected house,занедбаний будинок,Urban
residential,житловий,Urban
outskirts,околиці,Urban
neglected,занедбаний,Urban
cutting-edge,сучасний (новітній),Urban
spectacular,вражаючий,Urban
sprawling,що розростається,Urban
thriving,процвітаючий,Urban
deprived,незабезпечений,Urban
overpopulated,перенаселений,Urban
run-down,занедбаний,Urban
affluent,заможний,Urban
sky-scrapers,хмарочоси,Urban
high-rise building,висотний будинок,Urban
cost of living,вартість життя,General
traffic,трафік (рух),General
solid point/idea,грунтовна точка зору (ідея),Opinions
nursery,дитячий садок (ясла),General
crucial,вирішальний,General
off-putting,відштовхуючий (неприємний),General
outweigh,переважати,General
distinct,виразний (несхожий),General
distinct flavor,виразний смак,General
contemporary,сучасний,General
trail,стежка,General
pathway/lane,доріжка,General
clog,засмічувати (перешкоджати),General
clog (noun),засмічення (перешкода),General
solid financial foundation,солідна фінансова основа,Finance
recreational activities,розважальні заходи,General
get tanned,засмагнути,General
give it a try,спробуй,General
I've never played tennis before but I'll give it a try.,Я ніколи не грав у теніс раніше але я спробую.,Examples
might have V3,мабуть щось сталося (припущення про минуле),Grammar
I might be late,я можу запізнитися,Examples
look up,шукати (інформацію),Phrasal Verbs
look down,дивитися зверхньо,Phrasal Verbs
come across,випадково зустріти (наткнутися),Phrasal Verbs
feel emotionally attached to,відчувати емоційну прив'язаність до,Psychology
special ties,особливі зв'язки,General
utterly fed up with,вкрай набридло,Phrasal Verbs
coping with,справлятися з,General
absolutely astonished,абсолютно вражений,General
make good,досягти успіху (стати багатим),General
I can't stand any longer,я більше не можу цього терпіти,Phrases
totally depressing,абсолютно гнітючий,General
typical expatriates,типові емігранти,Sociology
fit in,вписуватися (пристосовуватися),Phrasal Verbs
out of touch,втратити зв'явок (бути не в курсі),Phrases
get to the top,дістатися вершини,General
to look down,дивитися зверхньо,Phrases
fulfil ambitions,реалізовувати амбіції,General
encounter negative attitudes,зіштовхнутися з негативним ставленням,General
to be fed up with,набридло,Phrases
seek,шукати,General
my life has turned out,моє життя склалося,Personal
prevalent,загальноприйнятий (поширений),General
These diseases are more prevalent among young children,Ці хвороби більш поширені серед маленьких дітей,Examples
look up to smb,поважати когось,Phrases
Many kids look up to their parents as role models,Багато дітей сприймають батьків як приклад для наслідування,Examples
economic situation,економічна ситуація,General
economical,економний,General
Expressing own opinion:,Висловлення власної думки:,Opinions
valid/solid point,вагомий аргумент,Opinions
absolutely,абсолютно,Opinions
I'm on the same page,я згоден (на одній хвилі),Opinions
in my humble opinion,на мою скромну думку,Opinions
I couldn't agree more,я абсолютно згоден,Opinions
From my perspective,з моєї точки зору,Opinions
Justifying,Обгрунтування,Opinions
Consequently,отже (як результат),Opinions
For instance,наприклад,Opinions
Therefore,отже (тому),Opinions
Besides,крім того,Opinions
Also,також,Opinions
Inviting partner,Запрошення партнера,Opinions
What's your take on that?,яка ваша думка про це?,Opinions
How do you feel about that?,як ви до цього ставитеся?,Opinions
frugal,ощадливий,General
humble,скромний,General
I bet the majority can relate (to this statement),Б'юся об заклад більшість може погодитися (з цією заявою),Phrases
regardless/despite - not being affected by smth,незважаючи на,Phrases
fulfil your dreams,здійснювати свої мрії,General
by far,безумовно (набагато),Phrases
willpower,сила волі,General
keep mentally active,тримати розум активним,General
expand horizons,роширювати горизонти,General
stay in shape,тримати форму,Health
sedentary job,сидяча робота,Work
reach a point,дійти до межі,Phrases
doing regular workouts,робити регулярні тренування,Health
give it a go,спробувати,Phrases
keep up my progress,підтримувати мій прогрес,General
come across an article,наткнутися на статтю,General
in the long run,в довгостроковій перспективі,Phrases
to slouch,сутулитися,Health
Don't slouch!,не сутулься!,General
workload,робоче навантаження,Work
I have a heavy workload today!,у мене сьогодні велике навантаження!,Work
to get off your duff,підняти дупу (перестати сидіти без діла),Idioms
Come on get off your duff and help me clean the house!,Давай піднімайся і допоможи мені прибрати будинок!,Examples
cheeky,зухвалий,General
duff,дупа (сленг),Idioms
the bottom line,суть (головне),Phrases
The bottom line is we need to work harder if we want results,Головне в тому що нам потрібно працювати старанніше якщо ми хочемо результатів,Examples
The bottom line is she said no,Суть в тому що вона сказала ні,Examples
doable,здійсненний (реальний),General
This task is difficult but it's doable,Це завдання складне але його можна виконати,Examples
sustainable,сталий (довгостроковий),General
We need to find sustainable sources of energy,Нам потрібно знайти сталі джерела енергії,Examples
to frame a problem,окреслити (сформулювати) проблему,General
come at a cost of the other,даватися ціною іншого,Phrases
Her career success came at the cost of her personal life,Її успіх у кар'єрі дався ціною особистого життя,Examples
it's odd to do,це дивно робити,Phrases
incredibly prevalent,неймовірно поширений,General
scary consequences in the long run,страшні наслідки в довгостроковій перспективі,Phrases
easy-to-implement strategies,стратегії які легко впровадити,General
lead to poor posture,призводити до поганої постави,Health
insufficient physical activity,недостатня фізична активність,Health
stiff,закляклий (негнучкий),General
After sitting for so long my legs feel stiff,Після тривалого сидіння мої ноги заклякли,Examples
The new shoes were so stiff that I couldn't walk comfortably,Нові туфлі були такими жорсткими що я не міг комфортно ходити,Examples
incentives,стимули,General
financial incentives,фінансові стимули,Finance
tax incentives,податкові пільги,Finance
premises,територія (приміщення),General
sleep on it,подумати над цим (ранок вечора мудріший),Idioms
let's call it a day,закінчимо на сьогодні,Idioms
We have finished all the major tasks let's call it a day,Ми закінчили всі основні завдання закінчимо на сьогодні,Examples
advise,радити,General
On the advice of my doctor I started riding my bicycle more frequently,За порадою мого лікаря я почав частіше їздити на велосипеді,Examples
give someone advice,дати комусь пораду,Communication
it's suggested - recommended,це пропонується,Communication
It's suggested that you arrive early to avoid traffic,Рекомендується прийти раніше щоб уникнути заторів,Examples
I suppose you are right,Я припускаю ви праві,Opinions
I suppose we can try tomorrow,Я припускаю ми можемо спробувати завтра,Opinions
propose,пропонувати (запропонувати),General
He proposed a new idea at the meeting,Він запропонував нову ідею на зустрічі,Examples
propose an idea,запропонувати ідею,General
propose different approach,запропонувати інший підхід,General
sleep deprivation,позбавлення сну,Health
overpower,пересилювати,General
pile up,накопичувати,General
stuck with anxiety,застрягнути в тривозі,Anxiety
She was wracked with anxiety before the big presentation,Вона была охоплена тривогою перед великою презентацією,Examples
jolt,поштовх,General
jolting the body into hyperexcitement,штовхати тіло до надмірного збудження,Psychology
primary,основний (первинний),General
put out of sync,вивести з синхронізації,General
The power outage put the entire system out of sync,Відключення електроенергії вивело всю систему з ладу,Examples
I'm feeling sluggish today,Я відчуваю себе млявим сьогодні,Personal
It comes in handy,це стає в нагоді,Phrases
is prone to anxiety,схильний до тривоги,Anxiety
legitimating,узаконення,Sociology
inconsistent,непослідовний,General
Fly is opened,ширінка розстебнута,Daily Life
to burp,відрижці,Daily Life
legitimation,узаконення,Sociology
legitimating,легітимізація,Sociology
take a large toll,мати негативні наслідки,General
laugh it off,відсміятися (звести на жарт),General
build up a credit,формувати кредитну історію (довіру),Finance
to cringe,знітитися (відчути сором),General
indigestion,дискомфорт у шлунку,Health
fumble over words,запинатися (плутати слова),Communication
exercise,вибачення,General
enduring,тривалий (стійкий),General
enduring identity,стійка ідентичність,General
attribute,ознака (характеристика),General
cause a commotion,спричинити шум (викликати здивування),General
decisive,той що розділяє (суперечливий),General
scapegoating,пошук козла відпущення,Sociology
bring it up,підняти це питання (згадати),General
liar,брехун,General
decrease in their estimation,впасти в їхніх очах,General
cast pearls before swine,кидати перли перед свинями,Idioms
flat out,багато (значно),General
quality,якість,General
few people,мало людей,General
to be accountable for,бути відповідальним,General
Be accountable for more than one person,Бути відповідальним за більше ніж одну особу,General
soothe others,заспокоювати інших,General
This tea will help soothe your sore throat,Цей чай допоможе заспокоїти хворе горло,Examples
inherent talent,уроджений talent,General
scope of influence,сфера впливу,General
As a team leader her scope of influence extends across multiple departments,Як лідер команди її сфера впливу поширюється на кілька відділів,Examples
strong attributes,сильні риси характеру,Personality
Honesty and empathy are important attributes of a good leader,Чесність та емпатія - важливі риси хорошого лідера,Leadership
overall success,загальний успіх,General
facilitate,полегшувати (сприяти),General
pertain,стосуватися,General
These rules pertain only to full-time employees,Ці правила стосуються лише штатних співробітників,Examples
entity,юридична особа (об'єкт),General
broad perspective,широка перспектива (здатність мислити масштабно),General
It's easier said than done,легше сказати ніж зробити,Phrases
inferior,гірший (нижчої якості),General
This product is inferior to the original one,Цей продукт гірший за оригінал,Examples
leadership trait,лідерська риса,Leadership
indispensable,необхідний (незамінний),General
timely manner,своєчасно,Work
Please respond in a timely manner,Будь ласка дайте відповідь своєчасно,Examples
accountability,відповідальність,General
culture of accountability,культура відповідальності,Leadership
subordinates,підлеглі,Work
accountability among team,відповідальність у команді,Leadership
outcome,результат (наслідок),General
core goals,ключові цілі,General
reprimanding,виносити зауваження (осуджувати),Communication
formal reprimand,офіційна догана,Communication
slip up,помилитися (зробити помилку),General
redeeming quality,позитивна риса яка компенсує недоліки,Personality
He's not polite but his honesty is a redeeming quality,Він не дуже ввічливий але його чесність - це риса яка його виправдовує,Leadership
hinder,заважати (перешкоджати),General
aforementioned,вищезгаданий,General
Change is inevitable,зміни неминучі,General
evolve,розвиватися (еволюціонувати),General
frequently slips through the cracks,залишається поза увагою (випадає з кола зору),Phrases
Important details frequently slip through the cracks in rushed projects,Важливі деталі часто вислизають з уваги в поспішних проектах,Examples
my-way-or-the-highway mindset,або по-моєму або ніяк,Mindset
apprehend,зрозуміти (усвідомити),General
dismissive,зневажливий,Communication
dismissive shrug,байдуже знизування плечима,Communication
He was dismissive of her ideas,Він зневажливо ставився до her ідей,Leadership
not dependable enough,недостатньо надійний,General
to be baffled,бути спантеличеним (пригніченим),Psychology
evade,уникати,General
fixture,постійний елемент,General
seek out scapegoats,шукати козла відпущення,Leadership
superiors,начальство (вищі за статусом),Work
affair,справа (питання/діяльність),General
the minister of foreign affairs,міністр закордонних справ,General
intimidate,залякувати (викликати страх),Psychology
detrimental effect,шкідливий наслідок,General
belittlement,приниження,Psychology
erode self-esteem,руйнувати самооцінку,Psychology
excessively control,ретельно все контролювати,General
scrutinize,ретельно вивчати (досліджувати),General
autonomy,автономність (незалежність),General
preferential treatment,привілейоване ставлення,General
resentment,образа (обурення),Psychology
deceptive tactics,обманна тактика,Communication
deception,шахрайство (обман),General
turnover,оборот (кадровий склад),Business
employee turnover,кадрова плинність,Business
distinct,чіткий (виразний/відмінний),General
Cats and dogs are distinct species,Коти і собаки - це різні види,Examples
peer,рівний за статусом (колега),Work
predetermined,заздалезідь визначений,General
The outcome of the match seemed predetermined,Результат матчу видавався наперед визначеним,Examples
align,узгоджувати (вирівнювати),General
Please align the text to left,Будь ласка вирівняйте текст по лівому краю,Examples
vitally,життєво (важливо),General
needed,необхідно,General
important,важливо,General
useful,корисно,General
relevant,надзвичайно важливо (актуально),General
significant,надзвичайно важливий,General
widely accepted,широко визнаний,General
widely available,широко доступний,General
widely used,широко використовується,General
widely known,широко відомий,General
badly trained,недостатньо підготовлений,Work
badly mistaken,сильно помилитися,General
badly designed,погано спроектований,General
badly organised,погано організований,General
fully involved,повністю залучений,General
fully engaged,повністю зайнятий,General
fully supported,повністю підтримується,General
fully aware,цілком усвідомлює,General
The inability to pay by card in public places is utterly ridiculous,Неможливість розрахуватися карткою в громадських місцях - це повний абсурд,Examples
utterly ridiculous,цілком безглуздо,Phrases
I'm deeply honored to receive this award,Мені дуже приємно отримати цю нагороду,Examples
The topic is vitally relevant to today's global challenges,Ця тема є життєво важливою для сучасних глобальних викликів,Examples
undermine their subordinates,підривати своїх підлеглих,Leadership
inevitable,неминучий,General
resolve,розв'язувати (допомагати),General
forthcoming,найближчий (що наближається),General
bound to make a mistake,неминуче зробити помилку,General
scrutinize every detail,уважно розглядати кожну деталь,General
evade,уникати,General
When you rush through things you're bound to make a mistake,Коли ви поспішаєте ви обов'язково помилитеся,Examples
bound to do smt,бути зобов'язаним щось зробити,General
bound,обмежений,General
morale,дух (моральний стан),General
moral,мораль,General
I wish I had followed my dreams,як шкода що я не пішов за своїми мріями,Personal
I should have followed my dreams,мені варто було піти за своїми мріями,Personal
If only I had followed my dreams,якби тільки я пішов за своїми мріями,Personal
If I had followed my dreams things could/might/would have been different,Яби я пішов за мріями все могло б бути інакше,Personal
I wish I was there,як шкода що мене там немає (тепер),Personal
worry about trivial things,хвилюватися через дрібниці,General
liberating,визвольний (той що надає свободу),General
I found myself thinking,я спіймав себе на думці,Personal
devastatingly honest,жахливо чесний,General
light-hearted response,легковажна відповідь,General
to emerge/appear,з'явитися,General
deep sorrow,глибокий сум,Psychology
high up the list,високо в списку (пріоритетний),General
it let me disadvantaged,це поставило мене у невигідне становище,Personal
live up to my potential,реалізувати свій потенціал,Personal
ended up having their heart broken,закінчилося розбитим серцем,Personal
possibility of rejection,можливість відмови,Psychology
leads to an unfulfilled life,призводить до нереалізованого життя (життя без здійснення мрій),Personal
massively excited about it,дуже збуджений (схвильований) цим,General
choosing career over family,вибір кар'єри замість сім'ї,Life Choices
If you don't prioritize your life someone else will,якщо ви не розставите пріоритети у своєму житті це зробить хтось інший,Life Lessons
reckless spending,марнотратство (безрозсудні витрати),Finance
It was reckless decision,це було безрозсудне рішення,General
doubts = second thoughts,сумніви,Psychology
capture the moment,зафіксувати момент,General
cherish the moment,цінувати момент,General
seize the moment,ловити момент (скористатися моментом),General
savor the moment,смакувати момент (насолоджуватися моментом),General
grudge,образа (злопам'ятність/неприємні відчуття),Psychology
have a grudge against her,мати образу на неї,Psychology
she grudged every penny spent on him,їй було шкода кожної копійки витраченої на нього,Finance
creep,повзти (крастися/моторошна людина),General
have/hold a grudge,мати/тримати образу,Psychology
bear/carry a grudge,нести образу,Psychology
personal grudge,особиста образа,Psychology
long-standing grudge,давня образа,Psychology
midst,середина (в самому центрі),General
grueling,виснажливий (вбивчий),Work
reminiscing,ностальгічні спогади (згадування),Psychology
reminisce,згадувати (згадувати минуле з приємністю),Psychology
decent,гідний (пристойний/добрий),General
to clarify,уточнити (прояснити),Communication
grow tormented,все більше мучитися (ставати розтерзаним),Psychology
profound,глибокий (значний/серйоний),General
remorse,каяття (муки сумління),Psychology
the takeaway here,висновок (головна думка),General
don't see eye to eye,не сходитися у поглядах (не поділяти думку),Phrases
have an issue,мати проблему (претензію),General
contradict,заперечувати (суперечити),General
clash with,конфліктувати (суперечити/не узгоджуватися з),General
gang up on,об'єднатися против когось (напасти гуртом),Social Issues
intervene,втручатися (виступати за),Social Issues
back down,відступити (здатися),Phrases
pick a fight,затіяти бійку (провокувати конфлікт),Phrases
find a compromise,знайти компроміс,General
underlying issue,прихована (глибинна) проблема,General
pushover,м'якотілий (той ким маніпулюють),Personality
to snap,зірватися емоційно (втратити самоконтроль),Psychology
mob/herd mentality,стадне мислення (менталітет натовпу),Sociology
lack of accountability,відсутність відповідальності,Leadership
get irritated,дратуватися,Psychology
anger quickly gets out of hand,гнів швидко виходить з-під контролю,Psychology
to be impervious to normal emotions,невразливий до нормальних емоцій,Psychology
unleash fury,випустити лють,Psychology
engage in a conflict,вступити в конфлікт,Phrases
to resist the temptation,чинити опір спокусі,General
wade in,втрутитися (енергійно взятися за щось/увійти у воду),Phrases
can quickly spiral out of control,може швидко вийти з-під контролю,Phrases
mild irritation into intense fury,легке роздратування в інтенсивну лють,Psychology
repercussions,наслідки (в негативному плані),General
vast majority,переважна більшість,General
own up,зізнатися (визнати провину),Phrases
No one owned up to breaking a window,ніхто не зізнався що розбив вікно,Phrases
Unless the guilty person owns up the whole class will be punished,якщо винний не зізнається весь клас буде покараний,Phrases
upon,відразу після (в момент),General
impervious,невразливий (нечутливий),General
combat,боротися (протистояти),General
the vast majority of users are unaware,переважна більшість користувачів не знають,General
change the idea,змінити ідею,General
resist the idea,чинити опір ідеї,General
influence enemy,впливати на ворога,Social Issues
wade in with an opinion,втрутитися зі своєю думкою,Phrases
wade in with criticism,втрутитися з критикою,Phrases
uninvited,незапрошений,General
unleash creativity,дати волю творчості,General
unleash emotions,дати волю емоціям,Psychology
unleash violence,розв'язати насильство,Social Issues
unleash potential,розкрити потенціал,General
engage in discussion,брати участь в обговоренні,General
engage in activities,брати участь у заходах,General
engage in battle,вступити в бій,Social Issues
engage a specialist,залучити фахівця,Work
engage attention,привернути увагу,General
repercussions for everyone,наслідки для кожного,General
unintended repercussions,непередбачені наслідки,General
face repercussions,зіткнутися з наслідками,General
long-term repercussions,довгострокові наслідки,General
impervious to pain,невразливий до болю,Psychology
impervious to criticism,несприйнятливий до критики,Psychology
spiral out of debts,вийти з боргів (або влізти в борги залежно від контексту але тут скоріше про вихід з-під контролю),Finance
spiral out of addiction,вирватися з залежності,Psychology
spiral out of control,вийти з-під контролю,General
trying to find something worthwhile,намагатися знайти щось варте уваги,General
to bond,зблизитися (через спільні інтереси),General
to expand your mind,розширювати свій кругозір,General
to expose us to think,спонукати нас задуматися (підштовхувати до думок),General
credible,надійний (достовірний),General
barely credible,ледь правдоподібний (майже неймовірний),General
